stimulus_name,speech_rate,pitch_mean,pitch_sd,FL_ratio,AL_ratio,combined_ratio
CVC1-L2_C1_5_L1_4-int-dur,4.404145077720208,5.374608380782997,1.2934244746109673,1.093215182411349,1.6803043371876023,1.6521132922223938
CVC1-L2_C1_5_L1_4-int-rate,4.846022249068687,5.4218641600073285,1.3760987366095747,1.417604283965658,1.6009305893989219,1.542939637075396
CVC1-L2_C1_5_L1_4-int-dur-rate,4.846022249068687,5.421037900222985,1.3547096256156361,1.0932151824113485,1.6803043371876016,1.6521132922223933
CVC1-L2_C1_5_L1_4-dur,4.404145077720208,5.380340542202615,1.3423566751987581,1.093215182411349,1.6803043371876023,1.6521132922223938
CVC1-L2_C1_5_L1_4-dur-rate,4.846022249068687,5.492400962152121,1.3978989221564773,1.0932151824113485,1.6803043371876016,1.6521132922223933
CVC1-L2_C1_5_L1_4-rate,4.846022249068687,5.4977131583028065,1.4318875253806298,1.417604283965658,1.6009305893989219,1.542939637075396
CVC2-L2_B1_4_B1_5-int-dur-rate,3.0011342458434513,5.886843453426499,1.8503317255926195,1.2846910044701965,1.5002089142926252,1.3685314343502883
CVC2-L2_B1_4_L1_4-int,3.2626364062436357,5.984129813823603,1.931413240344209,1.342992805108047,1.2923408297977983,1.235698808625765
CVC2-L2_B1_4_L1_4-int-dur,3.2626364062436357,5.77956112172414,1.9657966288862148,1.451101549582371,1.3947184161762092,1.2801621155067224
CVC2-L2_B1_4_L1_4-int-rate,3.872887944764872,6.163723559882002,2.014851454402374,1.3429928051080473,1.2923408297977983,1.235698808625765
CVC2-L2_B1_4_L1_4-int-dur-rate,3.872887944764872,6.031182502194974,1.9981638184839015,1.4511015495823723,1.3947184161762092,1.2801621155067224
CVC2-L2_B1_4_L1_4-dur,3.2626364062436357,5.970288177806194,1.7530615309281523,1.451101549582371,1.3947184161762092,1.2801621155067224
CVC2-L2_B1_4_L1_4-dur-rate,3.872887944764872,6.123197082248081,1.3788949976278027,1.4511015495823723,1.3947184161762092,1.2801621155067224
CVC2-L2_B1_4_L1_4-rate,3.872887944764872,6.158338097644173,1.7805134053191412,1.3429928051080473,1.2923408297977983,1.235698808625765
CVC2-L2_C1_4_C1_5-int-dur-rate,3.652418506470751,5.564055076813506,2.0979464745490324,1.1542097727315301,1.1209324693968747,1.0852424573182444
CVC2-L2_C1_4_L1_4-int,2.6875654374996825,5.260694806565652,1.8889614056608315,1.2210350949671331,1.3852967722387421,1.635749273410259
CVC2-L2_C1_4_L1_4-int-dur,2.6875654374996825,4.867876001852361,2.0204144215926516,1.4511015495823727,1.3947184161762092,1.2801621155067227
CVC2-L2_C1_4_L1_4-int-rate,3.872887944764872,5.719668222533622,2.6236872391081265,1.2210350949671334,1.3852967722387426,1.6357492734102592
CVC2-L2_C1_4_L1_4-int-dur-rate,3.872887944764872,5.442238105669023,1.965731702878345,1.4511015495823723,1.3947184161762092,1.2801621155067224
CVC2-L2_C1_4_L1_4-dur,2.6875654374996825,4.932995848624385,1.507784662502158,1.4511015495823727,1.3947184161762092,1.2801621155067227
CVC2-L2_C1_4_L1_4-dur-rate,3.872887944764872,5.049017523946259,0.8558432345268476,1.4511015495823723,1.3947184161762092,1.2801621155067224
CVC2-L2_C1_4_L1_4-rate,3.872887944764872,5.1017527666249505,1.8667451002149642,1.2210350949671334,1.3852967722387426,1.6357492734102592
CVC2-L2_B1_5_B1_4-int-dur-rate,3.2626364062436357,6.376738663524558,1.5131457244778008,1.342992805108047,1.2923408297977983,1.235698808625765
CVC2-L2_B1_5_L1_4-int,3.0011342458434513,6.3831082824918495,2.085699948043751,1.2846910044701965,1.5002089142926252,1.3685314343502883
CVC2-L2_B1_5_L1_4-int-dur,3.0011342458434513,5.91125119441555,2.3853383302779605,1.4511015495823718,1.3947184161762092,1.280162115506722
CVC2-L2_B1_5_L1_4-int-rate,3.872887944764872,6.654437731936572,2.3434695661270593,1.2846910044701967,1.5002089142926247,1.3685314343502883
CVC2-L2_B1_5_L1_4-int-dur-rate,3.872887944764872,6.378128003651645,2.220180600168814,1.4511015495823723,1.3947184161762092,1.2801621155067224
CVC2-L2_B1_5_L1_4-dur,3.0011342458434513,6.098620705365057,2.276242465677538,1.4511015495823718,1.3947184161762092,1.280162115506722
CVC2-L2_B1_5_L1_4-dur-rate,3.872887944764872,6.357382446184584,1.7912076123739444,1.4511015495823723,1.3947184161762092,1.2801621155067224
CVC2-L2_B1_5_L1_4-rate,3.872887944764872,6.33743052766094,1.9850806520587907,1.2846910044701967,1.5002089142926247,1.3685314343502883
CVC2-L2_C1_5_C1_4-int-dur-rate,2.6875654374996825,5.268655084285184,1.7445781920285932,1.2210350949671331,1.3852967722387421,1.635749273410259
CVC2-L2_C1_5_L1_4-int,3.652418506470751,5.590973085884606,1.9481810488607545,1.1542097727315301,1.1209324693968747,1.0852424573182444
CVC2-L2_C1_5_L1_4-int-dur,3.65241850647075,5.0491476779192475,2.4175149173219723,1.451101549582373,1.3947184161762083,1.2801621155067224
CVC2-L2_C1_5_L1_4-int-rate,3.872887944764872,5.732303191019399,2.112931639872455,1.154209772731531,1.120932469396874,1.0852424573182442
CVC2-L2_C1_5_L1_4-int-dur-rate,3.872887944764872,5.136035723201166,2.281180467039872,1.4511015495823723,1.3947184161762092,1.2801621155067224
CVC2-L2_C1_5_L1_4-dur,3.65241850647075,5.174751453183557,2.3879584559893967,1.451101549582373,1.3947184161762083,1.2801621155067224
CVC2-L2_C1_5_L1_4-dur-rate,3.872887944764872,5.253786706328239,2.323683089165424,1.4511015495823723,1.3947184161762092,1.2801621155067224
CVC2-L2_C1_5_L1_4-rate,3.872887944764872,5.663400061369953,2.0161935972708305,1.154209772731531,1.120932469396874,1.0852424573182442
CVC5-L2_B1_4_B1_5-int-dur-rate,3.016393394362387,5.653700988333393,2.044511033498426,1.330671265728157,1.468942246419461,1.452135061234071
CVC5-L2_B1_4_L1_4-int,4.2291553768632095,6.316768433272231,2.39145134048289,1.7013273190067932,1.4594640777625087,1.4594640777625087
CVC5-L2_B1_4_L1_4-int-dur,4.2291553768632095,6.327314043643677,2.4256147150468643,2.0642853467514883,1.811259481224518,1.811259481224518
CVC5-L2_B1_4_L1_4-int-rate,5.392812459553907,6.709532661662465,2.6187094383030005,1.7013273190067923,1.4594640777625085,1.4594640777625085
CVC5-L2_B1_4_L1_4-int-dur-rate,5.392812459553907,6.7170971032768945,2.6434057244513562,2.064285346751489,1.8112594812245186,1.8112594812245186
CVC5-L2_B1_4_L1_4-dur,4.2291553768632095,6.22061310106064,1.3426694790906561,2.0642853467514883,1.811259481224518,1.811259481224518
CVC5-L2_B1_4_L1_4-dur-rate,5.392812459553907,6.3765478620077625,1.7139868090407158,2.064285346751489,1.8112594812245186,1.8112594812245186
CVC5-L2_B1_4_L1_4-rate,5.392812459553907,6.374009628991363,1.70193578812425,1.7013273190067923,1.4594640777625085,1.4594640777625085
CVC5-L2_C1_4_C1_5-int-dur-rate,3.9273198393806594,5.527282539664081,1.6088016834535848,1.7816193531027584,1.473625018981738,1.473625018981738
CVC5-L2_C1_4_L1_4-int,3.2644925210270563,5.404756742591347,2.024724563639967,1.4505470188038125,1.5206213972484783,1.5206213972484783
